Transkripsyon sa Audio
Student/Speaker 2: "Advisor, unya..."
Teacher/Speaker 1: "Unya estudyante. Pero ang usa ka teacher man sad, sir, kay mogunit man gyud og multiple nga grupo, so makita man sad niya ang tanan."
Teacher/Speaker 1: "Pwede, oo, pwede niya makita ang tanang grupo ubos niya. Mm. Kay si teacher, pwede man sad siya ma-advisor at the same time, so duha gyud na iyaha..."
Student/Speaker 2: "View."
Teacher/Speaker 1: "View, multi-role kuan..."
Teacher/Speaker 1: "Oo, so kuan na siya, si tracker. Ang kadto nga usa, si archiver, naa ba kay code adto?"
Student/Speaker 2: "Naa na, naa na."
Teacher/Speaker 1: "Si archiver kay Google Sheet gihapon na siya, Google Sheet sad gihapon na siya..."
Student/Speaker 2: "Mao to ang amoang gigamit, sir, nga API gyud."
Student/Speaker 3: "API gyud diay?"
Teacher/Speaker 1: "Google Sheet na siya kay... Google na man gud, Google is the libre ra man gud nga storage, mao nang ang kanang mga document, gipastore na ngadto sa Google Drive sa mga estudyante."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "Dili para... nga na-share as space ba, dili lang padong sa akoa tanan, kay kung sa akoa nang Drive, aw na, puno na na sa sige-sige, kuwang kaayo og space."
Student/Speaker 2: "Puno gyud, hurot gyud na."
Teacher/Speaker 1: "Kinahanglan pa ko mag-subscribe para og extra nga space."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "So ang idea of the archiver is gikan sa Google Sheet nga anaa ang link, imo ra tong bisitahon ang link tagsa-tagsa unya imoha siya nga i-archive. Buhaton ra nang archiving by the end sa semester."
Student/Speaker 2: "Sir, so sa... sa compliance of this semester, it's just the tracker?"
Student/Speaker 3: "Unsay compliance?"
Student/Speaker 2: "Kay ingon man ka adtong end of the semester... ah, archiver na pod dapit sa semester."
Teacher/Speaker 1: "Apsan to ba, end sa... apsan to."
Student/Speaker 2: "Ah, sige. So mao na na, tanan... ang final, ang final kuan..."
Teacher/Speaker 1: "Final na ba, wala na may gi-revise, so i-archive na nimo..."
Student/Speaker 2: "So wala na nay versioning, sir? Naa na..."
Teacher/Speaker 1: "Wala na, wala na, final version na na. Mura og kuan, naay version sa kuan sa CD, ang inyong source code..."
Student/Speaker 2: "Oo."
Teacher/Speaker 1: "Na-upload na, mao na nang i-archive."
Student/Speaker 2: "Pero i-archive sad sa Sheets?"
Teacher/Speaker 1: "Dili... oo, dili, ang link anaa kay posible nga naa sa Sheet, kay ingon ko adto tagan nako mog copy sa submission. O, dmd, okay ra gihapon nga gikan na pod diha kay naa ra man sa inyo, sa previous man gud kay lain si scheduler, lain si archiver, combined as one ba. So ilang common graph kay ang Sheet."
Student/Speaker 2: "Ah..."
Teacher/Speaker 1: "So mao nang si scheduler... ah, si submission tracker diay, adto mobutang sa Sheet."
Student/Speaker 2: "Oo."
Teacher/Speaker 1: "Kay adto man sad mokuha og i-archive si archiver sa Sheet."
Teacher/Speaker 1: "So mao nang Sheet ang common, kay otherwise, mag-share sila og database."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "Unya, unsaon man na siya, pero since ganahan man pod ko nga naa koy Sheet para ka..."
Student/Speaker 2: "Replica..."
Teacher/Speaker 1: "Maduplicate sad ang data kay kanang... para ma-automate nako ang computation sa akong class record ba."
Student/Speaker 2: "Ah, oo."
Teacher/Speaker 1: "Aron dili na ko sige og tan-aw diha, kay nag-record na pod kog balik diay sa akong Excel."
Student/Speaker 2: "Ah, double..."
Teacher/Speaker 1: "Hago kaayo."
Teacher/Speaker 1: "Pero, I'll, I'll give you the copy of kuan... dili man tingali mo ganahan mosupak, pero na-establish na man gud to ang proseso, mao to siguro ang usa ka timaan nga kinahanglan tan-awon from the uban teams ba."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "Na na-establish na ang UX ba, unsaon siya pag-gamit. Pareho adtong akong giingon nga dapat pina-form ra gihapon, dili ka mag-log in na diha sa imong platform."
Teacher/Speaker 1: "Kay para hands-free ra siya ba..."
Student/Speaker 2: "Mm, sana..."
Teacher/Speaker 1: "Dili ra kanang kinahanglan og... og pag-maintain ani."
Student/Speaker 2: "UX ra pod..."
Student/Speaker 3: "Dili, dili, dili feature-heavy, UX focus."
Teacher/Speaker 1: "Oo, boom."
Student/Speaker 2: "Dili na ngadto sa kuan, form..."
Teacher/Speaker 1: "Diretso na."
Student/Speaker 2: "Good, good."
Student/Speaker 2: "Archiver so... kuan na diay na?"
Teacher/Speaker 1: "Kuan na, inyo na nang buhaton."
Student/Speaker 2: "Mao ni, Sheets, mga..."
Teacher/Speaker 1: "Mao na ni, diretso-diretso na pod ta sa kuan..."
Student/Speaker 2: "Gisunod-sunod ra na nimo sa kuan, sir?"
Teacher/Speaker 1: "Sige, by the way, so sakto-sakto na na siya, at least na-interpret ninyo, mao na siya..."
Student/Speaker 2: "Yeah, we, we tried to interpret your kuan gyud, sir, submission process..."
Teacher/Speaker 1: "Proseso gyud, oo. Ah, ispesipiko na na siya ha, nga Google..."
Teacher/Speaker 1: "Ah, naa na ni silay AI?"
Student/Speaker 2: "Yes, sir."
Teacher/Speaker 1: "Ah, both... both applications naa silay AI, kay sa tracker, ang AI lang para ra pod sa teacher, para lang... maka-summarize ba."
Student/Speaker 2: "Not for the advisor, sir?"
Student/Speaker 3: "Evaluator ra diay, sir? Kuan ra, ang AI..."
Teacher/Speaker 1: "Para ra gyud makasummarize ba, pinaka-pinaka-times or unsa, kumusta man ni nga... nga student for example, kanang on-time ba ni siya mag-sabmit, pito ba ni siya ka docs..."
Student/Speaker 2: "Mao sad na, sir, kadtong feature, kadtong feature enhancement..."
Teacher/Speaker 1: "Okay, dili na feature, dapat kuan na na siya sa... gikan sa Google Drive, naa may feature enhancement."
Student/Speaker 2: "Ah, mao may gibutang... kanang feature..."
Teacher/Speaker 1: "Okay. Limited ra ang atong time sa kuan."
Teacher/Speaker 1: "Kay si archiver, for example, kay mo-extract pod na siya og kanang metadata sa file mismo ba, kanang gikan sa Google Drive, nga kanus-a ni last giedit."
Student/Speaker 2: "Ah, okay."
Teacher/Speaker 1: "O kanus-a ang last push sa GitHub."
Student/Speaker 2: "Ah..."
Teacher/Speaker 1: "Adto ra na siya dapit, pero kon ma-implement ninyo, mas better. Ang akong isyu man gud... (nangatawa)... akong isyu man gud kay kanang, dili ko sure kung kompleto ba ning GitHub repository, ang link ilang i-sabmit kay usahay outside sa GitHub ang mga... mga add-ons ba."
Student/Speaker 2: "Ah, oo..."
Teacher/Speaker 1: "So mao nang inig pasa og lain nga grupo, usahay mag-mulo ba, kuwang pa man ni, daghan pa man og error. Pwede kon nidagan na na siya, pero wala na ko na-try ra og kanang i-install in my own."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "Aron pod wa koy i-install nako tanan nga... source code."
Teacher/Speaker 1: "So diha nako makontrol kung wala... kung dili na updated. Aron pod ma-verify, so it's better."
Teacher/Speaker 1: "Ang metadata dali ra na siya, kay gamit kag Google API, mahibawan nimo kung kanus-a ang last gi-update ang file."
Student/Speaker 2: "Yes, sir, kuan..."
Teacher/Speaker 1: "In fact, mabasa pa na ninyo... dako nga part na sa inyong tracker, ang usa ka isyu gyud nako sa tracker sa... kanang mga sa submission kay... manabmit og blanko, or empty..."
Student/Speaker 2: "Asa modawat gihapon, sir?"
Teacher/Speaker 1: "Mao nay usa sa inyahang trap."
Student/Speaker 2: "Like, di ba ang sa previous capstone is modawat ra og empty ang ilang kuan?"
Teacher/Speaker 1: "Dili... kuan, ang kanang karon, kamo usahay, butang inyong buhat, naay manabmit og link nga sayop..."
Student/Speaker 2: "Ah, oo..."
Teacher/Speaker 1: "Para lang on-time..."
Student/Speaker 2: "Para lang sa compilation..."
Teacher/Speaker 1: "Para lang gyud nga masabmit na on-time ba. Unya inig check nimo, dili siya... dead nga link, or sayop nga file."
Student/Speaker 2: "Mm, oo."
Teacher/Speaker 1: "So dapat, ang paagi man gud nako aron ma-verify, akoa pa nang i-click."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "Unya ilabi na og document siya, .docx ba, i-download pa, aron pa nako makita unsay sulod."
Student/Speaker 3: "Dili parehas sa PDF nga naay mura og image..."
Teacher/Speaker 1: "Okay na ni, so kon ako nang tan-awon tanan, ingna ana kataas ang proseso ba: click, download, open, check."
Teacher/Speaker 1: "Whereas kon gi-check na daan sa AI ba, tan-awa kon naa bay sulod o wala, dead ba ni nga link or dili."
Student/Speaker 2: "Ah, sa pag-verify..."
Teacher/Speaker 1: "Aron sad dili na ko maghago pagtan-aw ba og wa diay sulod."
Student/Speaker 2: "Makuha na pod ang storage."
